Title,Content,Stars
Nice one,Nice one thanks,5
Ending Contract.,"Ease of use, and helpfulness of staff.",5
After being a customer for over 10…,"After being a customer for over 10 years i had to change my bank details. They didn't update this on my file and so my payment lapsed, instead of informing me then cancelled my policy. When i tried to fix it they told me i'd have to take out a new policy and refused to help me further. When i raised a complaint they told me it was my fault they hadn't updated my details even though the representative had record of my changing them and had both the old and new bank details on file. They refuse to take responsibility for the mistake. Do not use this company they are incompetant and cannot handle simple tasks, representatives are outsourced and don't give clear information.",1
Very Helpful after I called for some advice…,Helpful after I called for some advice on house insurance and bought the policy. My previous provider had upped the cost of the home insurance by just under a third with a clear message there was no movement on price. Had been with them (aviva)for years. Talking to your advisor was simple and easy (breath of fresh air) also helped with review of policy.,5
Rubbish,"Rubbish! Used to be insured through AXA and for a long time too, my insurance was due and decided to look around and in the meantime the AXA policy expired, tried to get another quote to give them benefit of doubt and as my car is also with them and they said they were unable to quote even though it was insured with them 2 days ago! They then push towards Home Protect  Tried on the site and there is a technical issue sorting the quote out after spending time completing the fields and the chat doesn't work either, not a good start for a new possible customer! Considering they have all the details and their thirst for speaking to people Im surprised that they didn't take to calling as soon as their technical issue was known! They only needed to focus on people getting quotes or making a claim!  If this is the first interaction then it sets a scene! Backed by AXA apparently which means its not AXA so wont effect their name!",1
Your risk calculator rates everything…,"Your risk calculator rates everything as High or Very High.  All this is sleepy Tunbridge Wells.  I especially liked the High rating for flooding when we live on an inclined street miles from any river.  And crime: Very High.  In 30m years of living here: no crime.  Maybe my alarm system helps, but you don't ask about that.",1
Terrible,"Terrible. Where to start, broken in, contacted them, pushed from pillar to post, lost details, confusion, wasted time on the phone.  The claim started in May, As of December not resolved and rejected, reason, we allegedly were not in the property, but were however able to prove financially we were, bills, council tax etc. Underwriter couldn't be bothered to go upstairs to see we were living here.  So, all my Downhill bikes gone, no riding or racing this year, tools etc. Appalling. Stress full times, and all for the princely sum of 140 quid a month.",1
Straightforward website,The information on the site is clear.  It was easy to navigate.,4
Home Protect were a lot cheaper for my…,"Home Protect were a lot cheaper for my house insurance than my current insurer. They have also insured my house with Unoccupied insurance, which is very difficult to obtain. I spoke to Mish who was very knowledgeable on purchasing this difficult to buy insurance.",4
Easy process,Easy process. Underwritten by a top insurance company which is important - as is the trustpilot rating,5
Policy and renewal enquiry,Resolved my enquiry relatively quickly and Scott was pleasant to speak with,5
Frustrating errors,"When I received the policy documents I identified that the policy holders name was incorrect. This took a further 30 minutes on the phone to resolve. Later, when receiving the credit agreement I identified that some of the bank details are incorrect. How Home Protect have managed this is a mystery as I have paid the  first month's premium, showing that I must have supplied them with the correct bank details! I have yet to advise them of this as it is currently the Christmas break.",3
Easy to complete and a good process,Easy to complete and a good process,5
Easy transaction,"Easy transaction, great price",5
Home insurance,Over £100.00 cheaper than my previous insurance company.  Only dislike is you have to agree to auto renewal,4
